Issue ID,Issue Type,Summary,Description,Parent ID,Epic Name,Component/s,Labels
EP1,Epic,Identity and Access Management,"Provide registration, teacher approval, account administration, password recovery, and secure access control for LMS users.",,Identity and Access Management,Identity and Access Management,"lms,iam"
US1,Story,IAM-US-01 Student Registration,"User Story: As a student, I want to register so that I can use the platform.\n\nAcceptance Criteria:\n- Student enters required data.\n- Duplicate identifiers are rejected.\n- Verification is triggered.\n- The account is created in the correct initial status.",EP1,,User Registration and Family Access,"lms,iam,student"
US1-FE,Sub-task,FE - Build Student Registration,"Build the student registration and verification experience.",US1,,User Registration and Family Access,"fe,iam"
US1-BE,Sub-task,BE - Implement Student Registration,"Implement student registration, unique-identifier validation, account creation, and verification triggering.",US1,,User Registration and Family Access,"be,iam"
US1-QA,Sub-task,QA - Test Student Registration,"Test successful registration, validation, duplicates, and initial account status.",US1,,User Registration and Family Access,"qa,iam"
US2,Story,IAM-US-02 Parent Registration and Student Linking,"User Story: As a parent, I want to register and link to my child so that I can follow progress.\n\nAcceptance Criteria:\n- Parent account is created.\n- Parent logs in.\n- An approved student identifier is submitted.\n- The linked student becomes visible in the parent dashboard.",EP1,,User Registration and Family Access,"lms,iam,parent"
US2-FE,Sub-task,FE - Build Parent Registration and Linking,"Build parent registration, student linking, and linked-student display.",US2,,User Registration and Family Access,"fe,iam"
US2-BE,Sub-task,BE - Implement Parent Registration and Linking,"Implement parent registration and secure parent-student linking.",US2,,User Registration and Family Access,"be,iam"
US2-QA,Sub-task,QA - Test Parent Registration and Linking,"Test registration, valid and invalid links, duplicate links, and parent access restrictions.",US2,,User Registration and Family Access,"qa,iam"
US3,Story,IAM-US-03 Teacher Account Approval,"User Story: As a teacher, I want my account approved so that I can create courses.\n\nAcceptance Criteria:\n- Teacher submits profile and verification data.\n- Admin reviews the application.\n- Approved teacher gains access.\n- Rejected teacher receives a reason and cannot publish courses.",EP1,,Teacher Account Approval,"lms,iam,teacher"
US3-FE,Sub-task,FE - Build Teacher Approval Experience,"Build teacher verification submission, approval-status display, and Admin review screens.",US3,,Teacher Account Approval,"fe,iam"
US3-BE,Sub-task,BE - Implement Teacher Approval Workflow,"Implement teacher verification submission, approval and rejection workflow, access control, and notifications.",US3,,Teacher Account Approval,"be,iam"
US3-QA,Sub-task,QA - Test Teacher Approval Workflow,"Test teacher submission, approval, rejection, reasons, and course-access restrictions.",US3,,Teacher Account Approval,"qa,iam"
US4,Story,IAM-US-04 User Account Management,"User Story: As an admin, I want to manage user accounts so that platform access is controlled.\n\nAcceptance Criteria:\n- Admin can search users.\n- Admin can view account status.\n- Admin can activate or suspend accounts.\n- All sensitive actions are logged.",EP1,,Account Administration and Recovery,"lms,iam,admin"
US4-FE,Sub-task,FE - Build User Account Managementav,"Build user search, account details, and status-management screens.",US4,,Account Administration and Recovery,"fe,iam"
US4-BE,Sub-task,BE - Implement User Account Management,"Implement user queries, account-status actions, authorization, and audit logging.",US4,,Account Administration and Recovery,"be,iam"
US4-QA,Sub-task,QA - Test User Account Management,"Test search, activation, suspension, permissions, and audit records.",US4,,Account Administration and Recovery,"qa,iam"
US5,Story,IAM-US-05 Password Reset,"User Story: As a user, I want to reset my password so that I can regain access if I forget it.\n\nAcceptance Criteria:\n- User requests a password reset.\n- The system sends a valid one-time recovery method.\n- An expired or reused recovery method is rejected.\n- The new password is saved successfully.",EP1,,Account Administration and Recovery,"lms,iam,security"
US5-FE,Sub-task,FE - Build Password Reset Experience,"Build forgot-password, recovery verification, and new-password screens.",US5,,Account Administration and Recovery,"fe,iam"
US5-BE,Sub-task,BE - Implement Password Reset,"Implement secure password-reset requests, one-time recovery validation, expiry, and password update.",US5,,Account Administration and Recovery,"be,iam"
US5-QA,Sub-task,QA - Test Password Reset,"Test valid, invalid, expired, and reused recovery methods and password rules.",US5,,Account Administration and Recovery,"qa,iam"
US6,Story,IAM-US-06 Account Suspension,"User Story: As an admin, I want to suspend risky accounts so that unauthorized or policy-violating access is stopped.\n\nAcceptance Criteria:\n- Admin changes the account status to Suspended.\n- The user can no longer authenticate.\n- The action is recorded in the audit log.",EP1,,Account Administration and Recovery,"lms,iam,security"
US6-FE,Sub-task,FE - Build Account Suspension,"Add account suspension with confirmation and reason.",US6,,Account Administration and Recovery,"fe,iam"
US6-BE,Sub-task,BE - Implement Account Suspension,"Implement suspension, session revocation, login prevention, and audit logging.",US6,,Account Administration and Recovery,"be,iam"
US6-QA,Sub-task,QA - Test Account Suspension,"Test suspension, active-session termination, blocked login, and audit history.",US6,,Account Administration and Recovery,"qa,iam"
